PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,c525,21.85,-0.3,-2.84,22.15,22.91,-1.36,-4.64,21.51,24.71,21.51,25.26,70.0,21.77,0.26,-2.94,55.505051,49.588477,82.878338,41.511036,-2.92,-0.38,45.693674,79.385749,-3.49,0.26,48.559177,88.309115,1588,1522,689,1266
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.3,c625,20.69,1.39,-3.46,20.97,21.47,-1.34,-3.61,19.3,23.76,19.01,23.95,81.0,20.65,1.35,-3.11,55.40404,45.349794,57.002967,43.820034,-3.5,1.35,50.843507,62.383292,-3.3,1.64,45.951973,73.725231,3190,2355,808,2118
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.6,18.93,c600,21.54,2.61,-3.06,20.82,21.46,3.46,0.35,18.34,24.06,18.34,24.49,81.0,21.5,3.16,-2.56,31.161616,29.053498,14.035608,36.349745,-3.1,2.57,47.291898,50.39312,-2.99,3.16,41.698113,57.661823,4183,3929,2075,3395
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,c625,19.38,-1.31,-6.97,20.5,22.53,-5.45,-13.97,18.99,25.47,18.99,25.47,56.0,19.23,0.24,-6.24,76.161616,87.983539,83.353116,86.332767,-7.12,-1.46,82.985572,90.0,-6.24,0.24,86.295026,88.520476,19641,19749,21182,20191
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,c450,13.32,-0.03,-7.81,14.51,16.02,-8.19,-16.85,12.88,18.76,12.88,18.95,60.0,13.22,0.34,-5.54,90.0,,80.979228,76.825127,-7.91,-0.13,90.0,76.928747,-5.73,0.34,79.296741,87.463672,34849,27548,35254,32550
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,c525,15.31,0.04,-7.38,16.15,18.18,-5.21,-15.79,14.45,21.47,14.45,21.63,60.0,15.2,0.75,-6.27,74.949495,,71.246291,86.740238,-7.49,-0.07,86.27081,76.339066,-6.43,0.75,88.90223,83.130779,62247,62079,69770,64699
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,c675,19.89,-1.28,-6.62,20.45,23.04,-2.76,-13.67,18.53,25.7,18.53,26.0,60.0,19.75,1.22,-5.95,62.575758,86.748971,60.089021,82.393888,-6.76,-1.42,79.789123,89.60688,-6.25,1.22,86.432247,78.163804,35946,35909,39503,37119
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.1,20.01,c650,19.14,-0.87,-6.96,20.02,22.34,-4.38,-14.32,18.28,25.51,18.28,25.51,60.0,19.0,0.72,-6.51,70.757576,89.423868,71.958457,90.0,-7.1,-1.01,82.807991,85.577396,-6.51,0.72,90.0,83.44782,33731,35360,41929,37006
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,c425,16.45,3.4,-3.99,15.63,16.53,5.25,-0.46,14.51,18.74,12.86,19.24,10.0,16.21,1.7,-2.53,22.121212,32.386831,48.694362,35.942275,-4.23,3.16,57.325194,44.594595,-3.03,3.35,42.246998,55.653897,9049,6738,6843,7543
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,c575,18.5,1.93,-5.02,18.83,19.11,-1.76,-3.2,18.1,21.4,15.25,22.0,35.0,18.27,0.17,-3.13,57.525253,43.662551,85.014837,44.091681,-5.25,1.7,66.381798,58.943489,-3.73,3.02,51.852487,59.141347,2863,1784,2025,2224
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,c550,20.32,3.63,-3.84,20.86,21.17,-2.61,-4.01,19.6,23.22,16.13,23.49,25.0,20.07,0.47,-3.15,61.818182,46.995885,77.893175,44.363328,-4.09,3.38,56.082131,42.432432,-3.42,3.94,47.598628,49.418758,9903,11152,9582,10213
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.2,c500,19.18,2.98,-3.16,19.21,20.29,-0.13,-5.48,17.99,22.68,15.17,23.38,72.0,19.12,1.13,-3.56,49.292929,53.045267,62.225519,49.932088,-3.22,2.92,48.357381,46.953317,-4.26,3.95,59.125214,49.313078,33171,30282,30342,31265
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.8,15.89,c450,17.83,1.94,-3.97,17.35,18.63,2.76,-4.28,16.34,21.55,15.6,22.15,51.0,17.71,1.37,-3.84,34.69697,48.106996,56.52819,53.735144,-4.09,1.82,56.082131,57.764128,-4.44,2.11,61.595197,68.758256,9344,8605,6494,8148
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.00%,22.82,18.15,c775,22.25,4.1,-0.57,21.74,22.64,2.36,-1.71,19.85,24.56,17.33,24.56,65.0,22.11,2.26,-2.45,36.717172,37.530864,35.400593,34.855688,-0.71,3.96,26.071032,36.732187,-2.45,4.78,34.288165,40.541612,9021,9930,7645,8865
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.0,15.06,c650,19.62,4.57,-4.37,18.62,18.7,5.4,4.98,16.86,21.06,14.16,21.79,3.0,19.23,2.37,-1.83,21.363636,10.0,32.789318,26.434635,-4.77,4.17,62.119867,34.668305,-2.56,5.07,35.797599,37.476882,11572,4214,5164,6983
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,c650,20.14,0.5,-4.19,20.33,21.45,-0.91,-6.1,18.18,23.89,18.18,24.49,81.0,20.1,1.92,-3.79,53.232323,55.596708,43.47181,53.056027,-4.23,0.46,57.325194,71.130221,-4.39,1.92,60.909091,70.766182,4944,4919,2238,4034
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,c425,,-0.62,-3.45,17.14,18.41,1.29,-5.71,16.06,20.92,16.06,21.68,87.0,17.35,1.29,-3.57,42.121212,53.99177,58.4273,50.067912,-3.46,-0.63,50.488346,81.842752,-4.33,1.29,60.085763,77.424042,16994,14324,13363,14894
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,c550,,0.38,-4.56,21.52,23.3,0.49,-7.17,20.66,25.31,20.66,25.53,53.0,21.49,0.83,-3.82,46.161616,60.0,69.347181,53.463497,-4.7,0.24,61.498335,73.292383,-4.04,0.83,56.106346,82.285337,11344,11932,14284,12520
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,c575,22.35,0.61,-2.84,22.42,23.69,-0.33,-5.66,21.28,25.03,21.28,25.36,81.0,22.31,1.03,-2.72,50.30303,53.786008,64.599407,38.52292,-2.88,0.57,45.338513,70.04914,-3.05,1.03,42.521441,80.171731,31480,45232,104869,60527
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,c575,22.62,0.71,-2.97,22.52,23.77,0.45,-4.83,21.6,25.26,21.6,25.31,39.0,22.41,0.81,-2.85,46.363636,50.37037,69.821958,40.288625,-3.18,0.5,48.00222,70.737101,-2.9,0.81,40.463122,82.496697,41689,40458,32119,38089
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,c500,17.72,2.77,-4.36,18.19,19.73,-2.58,-10.2,16.54,22.0,14.64,22.53,39.0,17.54,1.0,-4.46,61.666667,72.469136,65.311573,62.156197,-4.54,2.59,60.077691,50.19656,-4.99,2.9,69.142367,60.409511,1613,1436,1821,1624
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,c500,19.48,3.36,-3.73,19.0,19.92,2.53,-2.21,17.75,21.83,15.65,22.04,37.0,19.3,1.55,-2.53,35.858586,39.588477,52.255193,35.942275,-3.91,3.18,54.483907,44.398034,-2.74,3.65,38.267581,52.483487,103984,95255,95809,98349
COF PRJ,COF,,10,11/13/2024,,,0.3,4.80%,21.9,15.54,c475,18.46,2.92,-3.44,18.16,19.01,1.65,-2.89,16.97,20.72,15.05,20.85,37.0,18.28,1.31,-2.44,40.30303,42.386831,57.952522,34.719864,-3.62,2.74,51.90899,48.722359,-2.57,3.23,35.93482,56.922061,97826,92096,77571,89164
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,c450,17.95,2.96,-4.22,17.55,18.71,2.27,-4.06,16.46,20.85,14.64,21.07,37.0,17.78,1.32,-3.07,37.171717,47.201646,57.715134,43.27674,-4.39,2.79,58.745838,48.230958,-3.29,3.14,45.814751,57.873184,9218,9108,10096,9474
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,c425,17.07,3.23,-2.99,16.59,17.72,2.91,-3.66,15.42,20.14,13.57,20.16,37.0,16.91,1.49,-3.23,33.939394,45.555556,53.679525,45.449915,-3.15,3.07,47.735849,45.479115,-3.25,3.34,45.265866,55.759577,47334,44072,40898,44101
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,c425,16.97,3.29,-2.97,16.37,17.27,3.67,-1.76,15.15,19.72,13.26,19.81,37.0,16.81,1.66,-2.91,30.10101,37.736626,49.643917,41.103565,-3.13,3.13,47.558269,44.889435,-3.0,3.55,41.835334,53.540291,33561,26505,21278,27115
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,c525,20.02,1.27,-3.54,19.85,19.99,0.86,0.16,18.3,21.85,16.89,22.0,67.0,19.93,1.63,-1.92,44.292929,29.835391,50.356083,27.657046,-3.63,1.18,51.99778,64.054054,-2.07,3.04,29.073756,58.929987,2168,2668,987,1941
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,c550,19.1,4.59,-3.28,18.73,19.04,1.97,0.31,17.05,20.75,14.26,21.44,29.0,18.87,1.82,-1.88,38.686869,29.218107,45.845697,27.113752,-3.51,4.36,50.932297,32.800983,-2.57,4.61,35.93482,42.338177,5694,4278,4670,4881
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,c525,21.26,1.72,-4.11,21.09,22.18,0.88,-4.12,20.02,24.63,19.06,24.63,67.0,21.19,1.17,-3.44,44.191919,47.44856,61.275964,48.302207,-4.19,1.64,56.970033,59.53317,-3.44,2.13,47.87307,68.546896,12723,10087,5807,9539
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.4,22.0,c575,23.3,1.3,-3.1,23.33,24.15,-0.11,-3.54,22.1,25.41,21.4,25.61,67.0,23.21,1.11,-2.2,49.191919,45.061728,62.700297,31.460102,-3.19,1.21,48.09101,63.759214,-2.4,1.81,33.602058,71.928666,13280,13896,11488,12888
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,c525,20.36,1.04,-5.01,20.44,21.76,-0.41,-6.42,19.61,24.26,19.01,24.45,67.0,20.28,0.67,-3.98,50.707071,56.91358,73.145401,55.636672,-5.09,0.96,64.961154,66.216216,-4.17,1.27,57.890223,77.635403,20022,22485,21183,21230
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.3,c425,17.48,0.18,-4.81,17.65,19.1,-0.96,-8.5,16.93,21.71,16.93,22.59,81.0,17.45,0.52,-4.26,53.484848,65.473251,76.706231,59.439728,-4.84,0.15,62.741398,74.176904,-5.14,0.52,71.200686,85.561427,16043,13766,18903,16238
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,c425,17.56,0.24,-3.33,17.57,19.14,-0.04,-8.27,16.71,22.05,16.71,22.25,39.0,17.41,0.7,-4.64,48.838384,64.526749,72.433234,64.601019,-3.48,0.09,50.665927,74.766585,-4.84,0.7,67.084048,83.659181,22749,22877,19932,21853
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,c525,21.54,0.66,-3.88,21.54,22.82,0.02,-5.6,20.55,25.11,20.42,25.17,39.0,21.35,0.8,-3.76,48.535354,53.539095,70.059347,52.648557,-4.07,0.47,55.90455,71.031941,-3.82,0.93,53.087479,81.228534,21852,16468,18912,19078
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,c550,24.73,1.82,-1.76,24.77,24.96,-0.15,-0.94,24.06,25.59,22.71,25.66,39.0,24.53,0.47,-1.06,49.393939,34.36214,77.893175,15.976231,-1.96,1.62,37.169811,59.72973,-1.13,1.82,16.174957,71.822985,59040,60692,58604,59445
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,c550,23.87,1.94,-2.21,24.47,24.71,-2.45,-3.39,23.3,25.46,21.8,25.5,67.0,23.78,0.48,-1.68,61.010101,44.444444,77.655786,24.397284,-2.3,1.85,40.188679,57.469287,-1.72,1.98,24.271012,70.1321,28639,30470,43631,34247
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,c525,21.52,-0.31,-3.32,21.85,22.49,-1.53,-4.33,20.21,24.36,20.21,24.43,70.0,21.45,1.24,-2.91,56.363636,48.312757,59.614243,41.103565,-3.39,-0.38,49.866815,79.385749,-2.98,1.24,41.560892,77.952444,1280,1051,1227,1186
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.00%,21.75,15.4,c500,20.09,4.69,-1.66,18.88,19.63,6.43,2.36,17.2,22.22,13.68,22.22,51.0,19.96,2.76,-2.26,16.161616,20.781893,23.531157,32.275042,-1.79,4.56,35.660377,30.835381,-2.26,6.28,31.680961,24.689564,2355,2067,1050,1824
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88%,25.3,20.02,c475,20.42,0.4,-4.88,20.51,21.59,-0.46,-5.43,19.86,23.43,19.86,23.45,53.0,20.3,0.44,-3.13,50.959596,52.839506,78.605341,44.091681,-5.0,0.28,64.162042,72.899263,-3.15,0.44,43.893654,86.406869,12096,11070,12496,11888
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.90%,25.3,20.07,c475,20.48,0.41,-4.82,20.68,21.81,-0.95,-6.1,19.96,23.61,19.9,24.23,81.0,20.45,0.49,-3.16,53.434343,55.596708,77.418398,44.499151,-4.85,0.38,62.830189,71.916462,-3.78,0.55,52.538593,85.244386,11300,11146,9152,10533
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.00%,24.79,19.49,c500,20.25,0.76,-4.54,20.68,21.67,-2.06,-6.56,19.86,23.91,19.31,24.59,53.0,20.12,0.26,-3.79,59.040404,57.489712,82.878338,53.056027,-4.67,0.63,61.231964,69.459459,-4.47,0.81,62.006861,82.496697,1471,1246,1283,1334
ENO,ETR,BB,13,12/27/2024,,,0.34,5.50%,25.4,20.75,c550,22.06,1.31,-3.34,21.97,23.01,0.39,-4.11,21.21,25.26,20.5,25.32,81.0,22.03,0.82,-3.23,46.666667,47.407407,69.58457,45.449915,-3.37,1.28,49.689234,63.071253,-3.29,1.53,45.814751,74.887715,7420,8004,5397,6941
